Time,PedID,GateID,Iterations,Final x,Final y,Actual x,Actual y,Final Position x Error,Final Position y Error,Error_Pixels
1020,215,5,0,281.0918140299086,514.5972265577323,279.356,516.014,1.7358140299086244,-1.416773442267754,2.2406020023964186
1021,215,5,1,283.9452726877133,512.8884045871627,277.653,516.014,6.292272687713307,-3.125595412837356,7.025812569467874
1022,215,5,2,287.334763900372,513.3697364338665,277.653,516.014,9.681763900372005,-2.6442635661335316,10.036367970024203
1023,215,5,3,288.716831262581,510.28653325408595,275.95,516.014,12.766831262581036,-5.727466745914057,13.992707236727561
1024,215,5,4,291.6764167746678,510.6314179995871,274.137,518.422,17.539416774667814,-7.79058200041294,19.191777111582365
1025,215,5,5,293.89839138267024,512.6784860576073,274.137,518.422,19.76139138267024,-5.743513942392724,20.579128790731964
1026,215,5,6,294.3779916417033,508.95736326008125,272.319,520.835,22.0589916417033,-11.877636739918785,25.05349011164322
1027,215,5,7,296.98874212570917,509.76819214643456,272.319,520.835,24.66974212570915,-11.066807853565479,27.038313790189044
1028,215,5,8,300.72627665982037,509.8595877581945,270.497,523.253,30.229276659820357,-13.39341224180555,33.06346410851268
1029,215,5,9,302.13586939801036,508.97232750735225,268.78700000000003,523.253,33.34886939801032,-14.280672492647795,36.27788164939922
1030,215,5,10,305.48611785648154,507.1507590481503,268.66900000000004,525.675,36.8171178564815,-18.524240951849663,41.21465358462004
1031,215,5,11,308.7586595756281,509.06837456832847,266.957,525.675,41.80165957562809,-16.60662543167149,44.97953703079366
1032,215,5,12,306.42450742841396,504.5105076930912,265.245,525.675,41.179507428413956,-21.164492306908755,46.29997372197958
1033,215,5,13,306.29770256262003,501.4426933631852,265.245,525.675,41.05270256262003,-24.23230663681477,47.67105067685802
1034,215,5,14,310.1207937141316,502.03967998585125,263.532,525.675,46.58879371413161,-23.635320014148704,52.24121028373221
1035,215,5,15,309.8730052707392,499.11183318260873,263.408,528.102,46.4650052707392,-28.99016681739124,54.76702006600316
1036,215,5,16,310.9944060141114,497.10462944600204,261.694,528.102,49.30040601411139,-30.99737055399794,58.2354446571681
1037,215,5,17,310.98444830522345,493.5167136688753,259.85,530.534,51.13444830522343,-37.017286331124694,63.126945837732706
1038,215,5,18,313.50490445654196,494.6315890405391,259.85,530.534,53.65490445654194,-35.902410959460894,64.55874754781618
1039,215,5,19,315.4657297762188,491.234345014904,258.002,532.97,57.46372977621877,-41.735654985096005,71.0207373717653
1040,215,5,20,317.02420598927506,488.35724159844085,256.283,532.97,60.741205989275045,-44.61275840155918,75.36439688093729
1041,215,5,21,319.50856719266915,488.10141620679786,256.283,532.97,63.22556719266913,-44.86858379320216,77.52846031259955
1042,215,5,22,322.45913974214943,489.4008336117009,254.428,535.411,68.03113974214943,-46.01016638829907,82.12899235772244
1043,215,5,23,321.9769783545744,487.7734769810199,254.428,535.411,67.54897835457439,-47.63752301898006,82.65711146737839
1044,215,5,24,324.13695474743463,487.5480851056557,252.706,535.411,71.43095474743464,-47.86291489434427,85.98395151604338
1045,215,5,25,324.2095027201284,490.9049727899825,250.985,535.411,73.22450272012838,-44.506027210017464,85.68905564089795
1046,215,5,26,328.5279337421592,490.43423175858055,250.985,535.411,77.54293374215916,-44.97676824141939,89.64271445456814
1047,215,5,27,324.90333213640724,488.1445617467541,249.12099999999998,537.856,75.78233213640726,-49.71143825324589,90.63216292927707
1048,215,5,28,326.63341778425234,484.5206333904188,247.39700000000002,537.856,79.23641778425232,-53.33536660958117,95.51476971997056
1049,215,5,29,328.2859130201341,484.514389935043,247.252,540.306,81.0339130201341,-55.79161006495701,98.38291931526972
1050,215,5,30,326.8174872808314,481.22591678461924,245.52599999999998,540.306,81.29148728083143,-59.080083215380796,100.49259742421776
1051,215,5,31,324.8122108231209,481.8433751619431,245.378,542.761,79.4342108231209,-60.917624838056895,100.10370055598476
1052,215,5,32,326.2242830901578,484.3007407331102,243.65,542.761,82.57428309015782,-58.46025926688975,101.17368304754697
1053,215,5,33,327.8304589322129,484.3759016825518,241.921,542.761,85.90945893221289,-58.38509831744818,103.87133791168603
1054,215,5,34,331.1952379962157,483.3572781453184,241.921,542.761,89.27423799621573,-59.40372185468158,107.23195298041223
1055,215,5,35,335.57333648445757,481.7704762643505,240.19299999999998,542.761,95.38033648445759,-60.99052373564945,113.2133056377967
1056,215,5,36,333.8220058288159,481.5984553563862,238.30700000000002,545.22,95.5150058288159,-63.621544643613845,114.76418117739561
1057,215,5,37,333.7312622689094,484.9182059748317,238.30700000000002,545.22,95.42426226890939,-60.301794025168306,112.88089383159326
1058,215,5,38,333.8283968176091,481.9388696893119,236.577,545.22,97.25139681760908,-63.28113031068813,116.02730556370926
