Time,PedID,GateID,Iterations,Final x,Final y,Actual x,Actual y,Final Position x Error,Final Position y Error,Error_Pixels
1020,229,5,0,238.45418540325193,622.5979550514451,237.585,625.509,0.8691854032519188,-2.911044948554945,3.0380365300195886
1021,229,5,1,241.35515169059295,625.6598096876506,238.085,625.034,3.2701516905929395,0.6258096876506443,3.329493932213311
1022,229,5,2,242.67161553604546,621.7246759027447,239.135,624.5930000000001,3.536615536045474,-2.8683240972553676,4.5535626246592935
1023,229,5,3,241.034290725399,620.0749136218229,240.109,623.9780000000001,0.9252907253989804,-3.903086378177136,4.011264912969634
1024,229,5,4,242.73387349046246,618.3474203489234,240.528,623.211,2.2058734904624657,-4.863579651076634,5.3404386410005475
1025,229,5,5,245.32561445428186,617.1823438491145,241.30599999999998,622.099,4.019614454281879,-4.916656150885501,6.3506541448194165
1026,229,5,6,249.99065063697293,615.7976345976281,241.658,621.5930000000001,8.332650636972943,-5.795365402371999,10.149843682779354
1027,229,5,7,251.4649886252027,617.1471191612136,242.1,621.073,9.364988625202699,-3.9258808387863837,10.154582823066933
1028,229,5,8,254.1950500914752,617.0064692871581,242.87099999999998,620.783,11.324050091475215,-3.776530712841918,11.937181187335565
1029,229,5,9,255.3247812120461,615.421154222594,242.792,620.576,12.532781212046103,-5.154845777405967,13.55149585462269
1030,229,5,10,254.52561319991986,613.4797038831916,243.62400000000002,619.975,10.901613199919836,-6.49529611680839,12.689918912494775
1031,229,5,11,256.7273603305306,611.1219222052707,244.291,619.253,12.43636033053059,-8.131077794729322,14.858582852167805
1032,229,5,12,259.5267809105562,610.5244859440755,245.665,618.815,13.861780910556234,-8.290514055924518,16.15182941105258
1033,229,5,13,259.7848658004738,607.8190644264685,245.98,618.609,13.804865800473834,-10.78993557353158,17.521330698610033
1034,229,5,14,262.513519920611,605.4235684076095,246.28599999999997,617.726,16.227519920611,-12.302431592390462,20.363747834307755
1035,229,5,15,262.87858507027585,603.6052081837915,246.63299999999998,617.0419999999999,16.245585070275865,-13.43679181620837,21.082371986749838
1036,229,5,16,266.34359459898013,606.7031265625251,246.782,616.745,19.561594598980122,-10.04187343747492,21.988524402267483
1037,229,5,17,266.33098076959965,605.2532174626128,247.368,616.04,18.962980769599653,-10.786782537387126,21.816262676661328
1038,229,5,18,264.84637501186796,601.0176878878733,248.298,615.712,16.54837501186796,-14.694312112126681,22.13078227225619
1039,229,5,19,267.6031320250145,601.6847584076762,248.895,615.058,18.708132025014464,-13.37324159232378,22.996473524260853
1040,229,5,20,266.8529023875706,600.5169146054056,249.56,614.302,17.29290238757062,-13.785085394594375,22.114996095914304
1041,229,5,21,264.273270048645,600.5714580314651,249.85299999999998,613.493,14.420270048644994,-12.921541968534939,19.36260403769229
1042,229,5,22,265.15767318062893,603.0541268781201,250.68,612.941,14.477673180628926,-9.886873121879944,17.531493970944236
1043,229,5,23,267.88778619498623,600.8182130216068,251.78400000000002,612.145,16.103786194986213,-11.326786978393216,19.688271459620996
1044,229,5,24,268.85642696714336,597.7540840284996,252.699,611.697,16.15742696714335,-13.942915971500383,21.341681095614085
