Time,PedID,GateID,Iterations,Final x,Final y,Actual x,Actual y,Final Position x Error,Final Position y Error,Error_Pixels
3010,7,5,0,492.1855853220284,300.42393385172096,489.764,299.635,2.4215853220283634,0.7889338517209694,2.546859260786606
3011,7,5,1,496.98381951670166,302.6565140325814,490.95599999999996,299.954,6.0278195167016975,2.702514032581405,6.605920845894937
3012,7,5,2,500.76593805235655,301.2945994143003,487.26599999999996,302.817,13.499938052356583,-1.5224005856996996,13.585508123025948
3013,7,5,3,505.57138134855785,302.27471052307396,487.452,303.427,18.11938134855785,-1.1522894769260574,18.155983903195683
3014,7,5,4,508.170513030533,303.98989157893584,486.775,304.459,21.39551303053304,-0.4691084210641634,21.400655143018923
3015,7,5,5,510.03378071185097,299.25675575604,486.224,306.291,23.809780711850976,-7.034244243960018,24.827127293146813
3016,7,5,6,512.4039146999341,302.8868236430222,484.106,306.418,28.297914699934154,-3.5311763569778236,28.51738387069944
3017,7,5,7,512.4279668030127,300.3567786439466,482.32,308.517,30.107966803012744,-8.160221356053398,31.194212245080134
3018,7,5,8,515.2059344881318,300.93739942993494,483.385,308.381,31.820934488131797,-7.44360057006503,32.67994891588186
3019,7,5,9,517.5685860448324,298.5794981525815,482.483,308.381,35.08558604483238,-9.801501847418479,36.428941606561736
3020,7,5,10,519.0719831820021,298.9379552707635,479.405,313.052,39.66698318200213,-14.114044729236525,42.10315681015057
3021,7,5,11,521.4780075084185,299.2096286164095,479.12699999999995,310.348,42.35100750841855,-11.138371383590538,43.791222340292265
3022,7,5,12,522.6183512617603,297.74698628443707,479.35400000000004,313.91700000000003,43.264351261760225,-16.17001371556296,46.18737309766023
3023,7,5,13,524.8183414648257,297.59438847737255,478.39099999999996,315.35,46.42734146482576,-17.755611522627476,49.70673773276608
3024,7,5,14,526.0880922076211,299.33916508669745,475.963,315.786,50.125092207621094,-16.446834913302553,52.754367093994645
3025,7,5,15,529.1906555338495,299.9078874805406,476.86800000000005,318.67400000000004,52.322655533849456,-18.766112519459455,55.586214668808665
3026,7,5,16,532.019405959045,299.24079197432917,475.49300000000005,320.272,56.52640595904495,-21.03120802567082,60.31207409520745
3027,7,5,17,534.4013959510954,301.41346029684945,474.93,322.76099999999997,59.47139595109542,-21.347539703150517,63.18674218338492
3028,7,5,18,535.5103818751268,299.3310694712077,473.028,324.195,62.48238187512675,-24.86393052879231,67.24777383772476
3029,7,5,19,532.3587757396924,301.8250717982238,472.981,324.251,59.377775739692424,-22.425928201776173,63.47158819113026
3030,7,5,20,536.754602398344,301.9802800750907,471.306,324.251,65.44860239834401,-22.27071992490926,69.13396069856168
3031,7,5,21,539.6846472849962,304.94701207001015,469.49,324.684,70.19464728499622,-19.73698792998988,72.91664556199493
3032,7,5,22,540.8722866625116,305.45978802047887,469.43199999999996,326.255,71.4402866625116,-20.795211979521127,74.40534523604505
3033,7,5,23,544.8298568530228,307.43979896757867,466.898,326.255,77.93185685302274,-18.815201032421328,80.17098042590258
3034,7,5,24,543.8301471678228,306.26126455663666,466.501,331.087,77.32914716782284,-24.825735443363328,81.21646472241123
3035,7,5,25,545.5960657950347,308.1414840482289,464.435,328.265,81.16106579503474,-20.123515951771083,83.61862528914921
3036,7,5,26,545.3974144908855,310.61271476814755,462.204,328.668,83.19341449088546,-18.05528523185245,85.13012122307721
3037,7,5,27,548.5344497349181,308.09788998775696,463.13300000000004,332.689,85.40144973491806,-24.591110012243064,88.8714257141179
3038,7,5,28,547.6697401381577,307.17427512217887,462.056,334.405,85.61374013815777,-27.230724877821103,89.83999598071891
