Time,PedID,GateID,Iterations,Final x,Final y,Actual x,Actual y,Variance x,Variance y,Final Position x Error,Final Position y Error,Error_Pixels
3011,7,1,0,397.99489227969,339.8523945588681,489.764,299.635,25817.866288520974,31477.553942163755,-91.76910772030999,40.217394558868136,100.19484995190888
3012,7,1,1,441.4192353328502,305.2463432098861,487.26599999999996,302.817,13299.013138567312,8035.514074648467,-45.846764667149785,2.429343209886099,45.911082963446134
3013,7,1,2,466.70562869837823,305.39760030256355,487.452,303.427,2182.969417198737,1840.466357340227,-20.746371301621764,1.9706003025635255,20.83975018413653
3014,7,1,3,475.31969693973105,304.07980358164554,486.775,304.459,819.6889770379684,1052.5814317853747,-11.455303060268932,-0.3791964183544678,11.46157747111189
3015,7,1,4,477.3944113529811,307.9632754621687,486.224,306.291,815.2939385109677,1113.7174148188408,-8.829588647018909,1.6722754621687272,8.986553338012124
3016,7,1,5,475.502560269666,307.0077449102068,484.106,306.418,1083.8191912448385,876.4785365300285,-8.603439730334003,0.5897449102067753,8.623628833188752
3017,7,1,6,474.9785005906167,308.7059069534144,482.32,308.517,1129.7034690732394,1123.112361929709,-7.341499409383289,0.18890695341440278,7.3439294260650065
3018,7,1,7,473.85457447139225,307.4847445799389,483.385,308.381,767.3678543781397,966.6198823445711,-9.530425528607736,-0.8962554200610953,9.572475360862882
3019,7,1,8,473.1561144427125,303.9210490950712,482.483,308.381,520.6229831566425,659.2073197715582,-9.326885557287483,-4.459950904928746,10.338372999322116
3020,7,1,9,470.33051392751383,306.7032802091938,479.405,313.052,492.88093085738745,631.9916000926161,-9.074486072486138,-6.3487197908062285,11.07486074232627
3021,7,1,10,467.6516884923035,309.5985038074747,479.12699999999995,310.348,590.361610215651,447.7375761051469,-11.47531150769646,-0.7494961925253278,11.499761681934142
3022,7,1,11,468.7996435421069,313.6393370662859,479.35400000000004,313.91700000000003,928.7554793015445,686.2282387499172,-10.554356457893164,-0.27766293371411166,10.55800819023313
3023,7,1,12,463.2931519949353,317.0119308307617,478.39099999999996,315.35,593.6566703127319,634.9159840386432,-15.09784800506469,1.661930830761662,15.189043039976942
3024,7,1,13,460.82573693602643,313.68860459807104,475.963,315.786,723.6870371649823,720.4564172699037,-15.137263063973592,-2.0973954019289636,15.281878174490592
3025,7,1,14,456.7272925238587,316.61232573019106,476.86800000000005,318.67400000000004,900.5213390981606,748.5481934051263,-20.14070747614136,-2.061674269808975,20.245952643288703
3026,7,1,15,454.44262608473423,319.7129798030184,475.49300000000005,320.272,799.3931074680626,706.6461275998271,-21.050373915265823,-0.559020196981578,21.05779536307486
3027,7,1,16,461.37264256614606,318.9809803408852,474.93,322.76099999999997,707.4073476255904,667.7766674090101,-13.557357433853952,-3.780019659114771,14.07446230633942
3028,7,1,17,455.4393367470874,319.29672774428724,473.028,324.195,382.59921065867775,608.164149110788,-17.588663252912625,-4.8982722557127545,18.257988556120967
3029,7,1,18,456.93294599202477,316.096641432245,472.981,324.251,515.6500640603136,481.40487596065236,-16.048054007975225,-8.154358567754969,18.000933339535717
3030,7,1,19,455.5721142370692,316.9996140337139,471.306,324.251,565.1671532504753,624.5652985082014,-15.73388576293081,-7.25138596628608,17.324484397320678
3031,7,1,20,454.0702913566207,319.3800886932715,469.49,324.684,1033.1836260100538,1030.6455779859998,-15.419708643379295,-5.303911306728537,16.306406403507456
3032,7,1,21,451.57099031298634,324.46355997088585,469.43199999999996,326.255,914.3273152676679,951.5068360331352,-17.86100968701362,-1.791440029114142,17.950624624717292
3033,7,1,22,447.25049358710527,327.31281892850313,466.898,326.255,1026.9444444797925,790.093212179784,-19.647506412894757,1.0578189285031385,19.67596221612148
3034,7,1,23,452.0797469782211,328.9367543853673,466.501,331.087,1099.0739736363773,866.0753863190592,-14.421253021778853,-2.150245614632695,14.580675393184393
3035,7,1,24,454.77568333549993,329.1089874849308,464.435,328.265,1463.3800482224628,1128.9686056769765,-9.659316664500068,0.8439874849308353,9.696118465644311
3036,7,1,25,458.40006054585365,341.83326950041754,462.204,328.668,8163.04145953148,7483.857087651419,-3.8039394541463594,13.165269500417537,13.703805179198788
3037,7,1,26,457.66210498363296,327.88897054218324,463.13300000000004,332.689,3574.565291215432,2720.5019380418876,-5.470895016367081,-4.800029457816777,7.278116176320558
3038,7,1,27,453.9091423384545,330.3084882409304,462.056,334.405,1055.7097267396152,1509.6742640542273,-8.146857661545482,-4.096511759069585,9.118810138920413
3039,7,1,28,457.61679868321335,327.3826963857124,459.87699999999995,338.038,1174.6859487680063,681.0229910443362,-2.260201316786606,-10.655303614287618,10.89238289379577
3040,7,1,29,464.68064286858174,324.31464260128473,460.439,336.348,681.7789668177737,499.0731763483107,4.241642868581721,-12.033357398715282,12.759044811811188
3041,7,1,30,465.42591577752444,329.12089801892967,458.286,339.35400000000004,435.8369687638632,363.1411124513568,7.139915777524436,-10.233101981070376,12.477771173776542
3042,7,1,31,470.98088549310734,335.23118810546094,459.20599999999996,340.16,426.0175946670625,470.5046964386335,11.774885493107377,-4.928811894539081,12.76483901455637
