Time,PedID,GateID,Iterations,Final x,Final y,Actual x,Actual y,Final Position x Error,Final Position y Error,Error_Pixels
1020,208,10,0,395.3856506347656,383.382568359375,396.704,384.269,-1.3183493652343827,-0.8864316406250055,1.5886491438687897
1021,208,10,1,394.149169921875,382.48895263671875,396.64300000000003,382.135,-2.493830078125029,0.3539526367187591,2.5188233220298026
1022,208,10,2,392.9273376464844,381.59619140625,396.64300000000003,382.135,-3.715662353515654,-0.5388085937499909,3.7545254594998196
1023,208,10,3,391.7088317871094,380.7027893066406,396.58099999999996,380.005,-4.872168212890585,0.6977893066406295,4.921883075730614
1024,208,10,4,390.4914855957031,379.8082580566406,396.58099999999996,380.005,-6.089514404296835,-0.19674194335937045,6.092691775596027
1025,208,10,5,389.2748718261719,378.91241455078125,396.58099999999996,380.005,-7.306128173828085,-1.0925854492187455,7.387371105897486
1026,208,10,6,388.05889892578125,378.0152587890625,396.58099999999996,380.005,-8.52210107421871,-1.9897412109374955,8.7513014349697
1027,208,10,7,386.84356689453125,377.11676025390625,396.58099999999996,380.005,-9.73743310546871,-2.8882397460937455,10.156748117108826
1028,208,10,8,385.6288757324219,376.2169189453125,396.58099999999996,380.005,-10.952124267578085,-3.7880810546874955,11.588726593088436
1029,208,10,9,384.4148254394531,375.31573486328125,396.58099999999996,380.005,-12.166174560546835,-4.6892651367187455,13.038596970538771
1030,208,10,10,383.201416015625,374.4132080078125,396.52,377.879,-13.318583984374982,-3.465791992187519,13.762136225236288
1031,208,10,11,381.9886474609375,373.50933837890625,396.52,377.879,-14.531352539062482,-4.369661621093769,15.174127628874665
1032,208,10,12,380.7765197753906,372.6041259765625,396.52,377.879,-15.743480224609357,-5.274874023437519,16.603658197692514
1033,208,10,13,379.5650634765625,371.6976013183594,396.52,377.879,-16.954936523437482,-6.181398681640644,18.04659419877288
1034,208,10,14,378.354248046875,370.78973388671875,396.458,375.759,-18.103751953125027,-4.9692661132812646,18.773370514771283
1035,208,10,15,377.14410400390625,369.8805236816406,398.017,375.759,-20.872895996093746,-5.8784763183593896,21.684885775333438
1036,208,10,16,375.93463134765625,368.969970703125,398.017,375.759,-22.082368652343746,-6.7890292968750146,23.10242247236945
1037,208,10,17,374.725830078125,368.0580749511719,398.017,375.759,-23.291169921874996,-7.7009250488281396,24.531262563050504
1038,208,10,18,373.5177001953125,367.14483642578125,398.017,375.759,-24.499299804687496,-8.614163574218765,25.96958807920061
1039,208,10,19,372.31024169921875,366.2302551269531,398.017,375.759,-25.706758300781246,-9.52874487304689,27.415951582799437
1040,208,10,20,371.10345458984375,365.3143310546875,398.017,375.759,-26.913545410156246,-10.444668945312515,28.86918834885591
1041,208,10,21,369.8973693847656,364.3970642089844,398.017,375.759,-28.11963061523437,-11.36193579101564,30.32832357477723
1042,208,10,22,368.69195556640625,363.47845458984375,398.017,375.759,-29.325044433593746,-12.280545410156265,31.792609622413156
1043,208,10,23,367.48724365234375,362.5585021972656,398.519,372.773,-31.031756347656255,-10.2144978027344,32.66964749400229
1044,208,10,24,366.2832336425781,361.63720703125,399.042,371.13199999999995,-32.75876635742185,-9.494792968749948,34.10700612454246
1045,208,10,25,365.0799255371094,360.71453857421875,399.73400000000004,369.145,-34.65407446289066,-8.430461425781232,35.664794359860764
1046,208,10,26,363.8927001953125,359.77850341796875,400.471,367.215,-36.578299804687504,-7.436496582031225,37.32657897552579
1047,208,10,27,362.70855712890625,358.8390197753906,402.119,363.814,-39.41044287109378,-4.974980224609396,39.72321028732448
1048,208,10,28,361.5254821777344,357.8978576660156,402.63800000000003,360.534,-41.11251782226566,-2.636142333984367,41.196946101515046
1049,208,10,29,360.3431701660156,356.9552917480469,403.841,358.585,-43.49782983398438,-1.6297082519531045,43.52834879998029
1050,208,10,30,359.1615905761719,356.01141357421875,404.85900000000004,355.599,-45.69740942382816,0.41241357421876046,45.69927037716444
1051,208,10,31,357.9807434082031,355.0661926269531,405.43800000000005,353.93699999999995,-47.45725659179692,1.12919262695317,47.4706886321277
1052,208,10,32,356.8006286621094,354.1196594238281,405.969,353.06699999999995,-49.16837133789062,1.0526594238281746,49.17963838707314
1053,208,10,33,355.6212463378906,353.17181396484375,407.156,350.311,-51.53475366210938,2.8608139648437714,51.614097798525364
1054,208,10,34,354.442626953125,352.22265625,407.915,348.98400000000004,-53.47237304687502,3.2386562499999627,53.570360961727985
1055,208,10,35,353.2647399902344,351.27215576171875,408.93199999999996,346.865,-55.667260009765585,4.407155761718741,55.84144391849925
1056,208,10,36,352.0876159667969,350.3203430175781,409.115,344.11800000000005,-57.027384033203134,6.202343017578073,57.3636783041162
1057,208,10,37,350.9112548828125,349.3672180175781,410.01599999999996,342.713,-59.10474511718746,6.654218017578103,59.478143151860046
1058,208,10,38,349.7356262207031,348.41278076171875,410.566,341.043,-60.83037377929685,7.369780761718744,61.27518292591843
1059,208,10,39,348.5607604980469,347.45703125,411.76,337.135,-63.199239501953116,10.322031250000009,64.03661610946669
1060,208,10,40,347.38665771484375,346.49993896484375,412.214,333.92699999999996,-64.82734228515625,12.572938964843786,66.03531708086585
1061,208,10,41,346.2133483886719,345.5415344238281,412.349,331.74199999999996,-66.13565161132811,13.799534423828163,67.55998493464445
1062,208,10,42,345.0408020019531,344.5818176269531,413.639,330.07199999999995,-68.59819799804689,14.50981762695318,70.11595807051833
1063,208,10,43,343.8690490722656,343.62078857421875,414.217,331.06300000000005,-70.34795092773436,12.557788574218705,71.46000457322752
