Time,PedID,GateID,Iterations,Final x,Final y,Actual x,Actual y,Variance x,Variance y,Final Position x Error,Final Position y Error,Error_Pixels
1021,208,9,0,380.1274787950341,365.1188758200164,396.704,384.269,24075.440892033934,26696.00429803575,-16.5765212049659,-19.150124179983607,25.328014358955915
1022,208,9,1,380.26431141854164,383.04742682465496,396.64300000000003,382.135,7763.19553756189,6917.432132629714,-16.37868858145839,0.9124268246549718,16.404083709818888
1023,208,9,2,393.86192131444074,379.5469480704082,396.58099999999996,380.005,905.464099471538,1079.4682234659506,-2.719078685559225,-0.45805192959181795,2.757390155285478
1024,208,9,3,395.5618616238529,382.53982876830406,396.58099999999996,380.005,852.8600667922065,678.4646767989212,-1.0191383761470547,2.5348287683040667,2.73203219497091
1025,208,9,4,398.2222974343582,377.5489243440793,396.58099999999996,380.005,774.8676960064954,1098.7085798987607,1.6412974343582505,-2.4560756559206993,2.9540082761626225
1026,208,9,5,391.36346767193476,375.63567467028844,396.58099999999996,380.005,841.2393193046026,985.8196114478807,-5.217532328065204,-4.3693253297115575,6.805413097767432
1027,208,9,6,392.1891328022946,382.66597440328906,396.58099999999996,380.005,586.8657952545299,520.0902165991046,-4.3918671977053805,2.6609744032890603,5.135102945145315
1028,208,9,7,386.9663732370911,378.1255982974576,396.58099999999996,380.005,531.2088367186058,589.4801429009948,-9.61462676290887,-1.8794017025423955,9.796591169869382
1029,208,9,8,387.8656452408083,372.4110103570651,396.58099999999996,380.005,436.5965742309545,490.07898091362256,-8.715354759191655,-7.5939896429349005,11.559675050604458
1030,208,9,9,394.9858394920442,370.3961975357734,396.52,377.879,655.4770006042531,676.7139477086293,-1.5341605079557894,-7.482802464226609,7.63845410949146
1031,208,9,10,386.5824387122648,374.3594262269661,396.52,377.879,619.9193943522312,906.8745276022609,-9.937561287735207,-3.519573773033926,10.542415467591935
1032,208,9,11,386.3456630782979,373.79676188954,396.52,377.879,284.27136731359474,406.8448858594642,-10.174336921702093,-4.082238110460025,10.962745996638006
1033,208,9,12,384.8615581309781,372.67795447494683,396.52,377.879,334.56116439779356,540.8769199192299,-11.658441869021885,-5.201045525053189,12.765975926933214
1034,208,9,13,382.88038696582953,371.173870913093,396.458,375.759,933.2716512291265,1364.035578436411,-13.577613034170497,-4.5851290869069885,14.33091010540772
1035,208,9,14,382.59216682684536,368.1083749748722,398.017,375.759,557.7535575594674,785.9063355181411,-15.424833173154639,-7.650625025127795,17.217942434993894
1036,208,9,15,382.76803126569666,364.2255204466549,398.017,375.759,528.2479429015332,384.0899268387361,-15.248968734303332,-11.533479553345103,19.119419396707375
1037,208,9,16,383.88402849394606,365.2624206200636,398.017,375.759,588.5582816842,521.8580238114226,-14.132971506053934,-10.496579379936406,17.604518234539636
1038,208,9,17,383.52349914393335,364.0149900094167,398.017,375.759,493.27035016998036,569.8055398109409,-14.493500856066646,-11.744009990583322,18.654311504950417
1039,208,9,18,386.44811142791286,361.400075931992,398.017,375.759,647.1604943995022,680.9981756958642,-11.568888572087133,-14.358924068008037,18.439573834126122
1040,208,9,19,381.644498958329,361.07523941496135,398.017,375.759,710.3162585258951,501.2637216997638,-16.372501041671,-14.68376058503867,21.992535444515106
1041,208,9,20,380.5924051347683,356.8657652064769,398.017,375.759,463.62517187107676,466.25111650160744,-17.42459486523171,-18.893234793523106,25.70157246513628
1042,208,9,21,380.6952631067201,356.11822291160473,398.017,375.759,408.0451649790652,541.2471881853846,-17.321736893279876,-19.640777088395282,26.187834840552327
1043,208,9,22,375.80363388761737,355.56942286314325,398.519,372.773,444.8985710798529,596.0320100768257,-22.71536611238264,-17.20357713685678,28.494752568207414
1044,208,9,23,376.69949077185794,351.45657176561116,399.042,371.13199999999995,378.252272583374,535.5175658048076,-22.342509228142035,-19.67542823438879,29.770962275616746
1045,208,9,24,374.71632612363317,352.6714964900098,399.73400000000004,369.145,672.8872580146752,551.6792965893412,-25.01767387636687,-16.473503509990167,29.95430393245531
1046,208,9,25,412.69318252123975,368.08252356710517,400.471,367.215,11271.821920283375,11916.517312596594,12.222182521239745,0.8675235671051951,12.2529320051154
1047,208,9,26,404.7710658990066,369.44439061345037,402.119,363.814,8859.718930562918,8090.753199330168,2.6520658990065726,5.630390613450345,6.223724929068065
1048,208,9,27,400.64309245110087,372.1513338520637,402.63800000000003,360.534,4857.527579884697,3277.362880916774,-1.9949075488991639,11.617333852063723,11.787370442934277
1049,208,9,28,398.0730320414953,369.22387636293695,403.841,358.585,2138.01891270708,2472.9370031691947,-5.767967958504698,10.63887636293697,12.101865337054276
1050,208,9,29,395.2366866855459,365.18196495850486,404.85900000000004,355.599,1165.1448965041086,969.5848852076693,-9.622313314454118,9.582964958504874,13.580211004157974
1051,208,9,30,396.46251662105067,361.95041353636276,405.43800000000005,353.93699999999995,874.6992255687039,500.6467123557739,-8.975483378949377,8.013413536362805,12.032210868770509
1052,208,9,31,391.9176815711297,361.7769345675669,405.969,353.06699999999995,449.0289413096712,606.6832605015529,-14.051318428870275,8.709934567566961,16.53186346909529
1053,208,9,32,391.6743163137803,360.05021301850377,407.156,350.311,574.6897124438105,912.0576916330933,-15.481683686219696,9.73921301850379,18.2902925066811
1054,208,9,33,389.8711455875693,354.22833225895846,407.915,348.98400000000004,680.2062842507985,699.1151858396876,-18.043854412430733,5.244332258958423,18.790521623929124
1055,208,9,34,388.5182745567059,350.30866613043924,408.93199999999996,346.865,599.4815240564523,800.919878295548,-20.413725443294084,3.443666130439226,20.70215019972869
1056,208,9,35,385.2604616081645,351.39630614482337,409.115,344.11800000000005,769.8378105841584,532.6966443678289,-23.85453839183549,7.278306144823318,24.940183283715584
1057,208,9,36,385.26258774888623,347.1523696695832,410.01599999999996,342.713,698.7280470138484,598.7059535593736,-24.75341225111373,4.439369669583186,25.14834827850136
1058,208,9,37,384.92917392154646,349.38413788259425,410.566,341.043,561.3398816923773,572.9225395336581,-25.63682607845351,8.34113788259424,26.959625972059083
1059,208,9,38,383.90564192620036,351.01952019689145,411.76,337.135,426.02674275439546,813.3264740380341,-27.85435807379963,13.884520196891458,31.12306483624859
1060,208,9,39,382.0789111017511,346.18391569269176,412.214,333.92699999999996,296.8580848109708,819.9203557012512,-30.13508889824891,12.256915692691791,32.53237718340175
1061,208,9,40,379.41959495186205,347.0095155668355,412.349,331.74199999999996,377.3421396430202,491.3192167866786,-32.92940504813794,15.267515566835527,36.2965941709122
1062,208,9,41,385.0212500649717,347.63264597123356,413.639,330.07199999999995,540.9247872698502,608.4544228461855,-28.617749935028314,17.560645971233612,33.57606138710757
1063,208,9,42,376.37749622546283,344.26776504831946,414.217,331.06300000000005,702.2245149189564,718.6935515312438,-37.83950377453715,13.204765048319416,40.07734853860132
1064,208,9,43,377.9086616465805,347.01349072650083,414.916,327.156,343.5722209660637,689.1544518681267,-37.00733835341947,19.857490726500828,41.99836937260229
1065,208,9,44,376.9742567195137,344.8019810832038,415.866,324.842,988.6771186743301,825.7753099242516,-38.89174328048631,19.959981083203843,43.71462615918278
1066,208,9,45,373.8581521422022,335.0012999142419,416.63800000000003,324.312,789.2610282401032,630.9455755560667,-42.77984785779785,10.689299914241872,44.09508493463804
1067,208,9,46,376.41669283541415,337.06752048907015,416.861,320.907,813.7410579862988,509.7932063204564,-40.44430716458584,16.160520489070166,43.5534660446333
1068,208,9,47,376.8960889354206,337.2003811624047,417.98800000000006,317.943,1195.9942644055684,596.6238220336429,-41.09191106457945,19.257381162404727,45.38052318091372
1069,208,9,48,371.0110334733107,333.5257470143055,418.8,317.53700000000003,704.0618058116252,603.6942189255957,-47.78896652668931,15.988747014305488,50.39271130606582
1070,208,9,49,368.51482741068037,331.8129100180964,419.274,315.092,410.50834308791895,401.43524849275445,-50.75917258931963,16.72091001809639,53.442328109707326
1071,208,9,50,428.1480152187669,320.85069954527967,419.505,311.94,11284.19506369053,10550.008961833575,8.643015218766891,8.91069954527967,12.413793878508027
1072,208,9,51,431.2054394231163,319.2247154503022,420.471,310.215,5991.684451380394,5802.932775810631,10.734439423116271,9.009715450302224,14.014391254134708
