Time,PedID,GateID,Iterations,Final x,Final y,Actual x,Actual y,Final Position x Error,Final Position y Error,Error_Pixels
1020,217,5,0,279.56524658203125,491.9628601074219,278.709,492.186,0.8562465820312468,-0.22313989257810363,0.884844404909677
1021,217,5,1,280.442138671875,491.76055908203125,278.709,492.186,1.7331386718749968,-0.4254409179687286,1.7845922869469941
1022,217,5,2,281.3250427246094,491.5671081542969,276.921,494.548,4.404042724609383,-2.980891845703127,5.318017348219563
1023,217,5,3,282.2096252441406,491.3772888183594,275.23900000000003,494.548,6.970625244140592,-3.170711181640627,7.657873444477324
1024,217,5,4,283.09454345703125,491.1889343261719,273.557,494.548,9.537543457031234,-3.359065673828127,10.111778152028936
1025,217,5,5,283.9793395996094,491.0011291503906,273.557,494.548,10.422339599609359,-3.546870849609377,11.00933492784165
1026,217,5,6,284.8638610839844,490.8135070800781,271.76,496.914,13.103861083984384,-6.100492919921862,14.45431386038013
1027,217,5,7,285.748046875,490.62591552734375,270.075,496.914,15.673046875000011,-6.288084472656237,16.887403728258768
1028,217,5,8,286.6318664550781,490.4382629394531,270.075,496.914,16.556866455078136,-6.475737060546862,17.778216932207567
1029,217,5,9,287.51531982421875,490.25054931640625,268.27099999999996,499.285,19.244319824218792,-9.034450683593775,21.2594718808137
1030,217,5,10,288.3984069824219,490.062744140625,266.585,499.285,21.813406982421895,-9.222255859375025,23.682793908585815
1031,217,5,11,289.2811279296875,489.8748474121094,266.585,499.285,22.69612792968752,-9.41015258789065,24.569598994043982
1032,217,5,12,290.1634826660156,489.6868591308594,264.774,501.661,25.389482666015624,-11.974140869140626,28.07144242111423
1033,217,5,13,291.04547119140625,489.4987487792969,264.774,501.661,26.27147119140625,-12.162251220703126,28.950139089758846
1034,217,5,14,291.9270935058594,489.310546875,263.085,501.661,28.842093505859395,-12.350453125000001,31.375150201928264
1035,217,5,15,292.808349609375,489.12225341796875,263.085,501.661,29.72334960937502,-12.538746582031251,32.259846215528285
1036,217,5,16,293.6892395019531,488.933837890625,261.267,504.042,32.42223950195313,-15.108162109374973,35.769514626916084
1037,217,5,17,294.56976318359375,488.7453308105469,259.575,504.042,34.99476318359376,-15.296669189453098,38.19190409716925
1038,217,5,18,295.4499206542969,488.5567321777344,259.444,506.42699999999996,36.00592065429686,-17.87026782226559,40.196676407422316
1039,217,5,19,296.3297119140625,488.3680114746094,257.751,506.42699999999996,38.578711914062524,-18.05898852539059,42.59629185162036
1040,217,5,20,297.2091369628906,488.17919921875,255.921,508.81699999999995,41.28813696289063,-20.63780078124995,46.15873779635852
1041,217,5,21,298.08819580078125,487.9902648925781,255.921,508.81699999999995,42.16719580078126,-20.826735107421825,47.03004674605524
1042,217,5,22,298.9668884277344,487.8012390136719,255.785,511.211,43.18188842773438,-23.409760986328138,49.11916527815096
1043,217,5,23,299.84521484375,487.6120910644531,254.08700000000002,511.211,45.75821484374998,-23.598908935546888,51.4851699874344
1044,217,5,24,300.7231750488281,487.4228515625,254.08700000000002,511.211,46.63617504882811,-23.788148437500013,52.352734687592694
1045,217,5,25,301.60076904296875,487.2334899902344,252.248,513.61,49.35276904296876,-26.37651000976564,55.9590572874837
1046,217,5,26,302.4779968261719,487.04400634765625,250.548,513.61,51.92999682617187,-26.565993652343764,58.330751658988504
1047,217,5,27,303.3548583984375,486.85443115234375,248.847,513.61,54.50785839843749,-26.755568847656264,60.7204009501402
1048,217,5,28,304.2313537597656,486.66473388671875,247.146,513.61,57.08535375976564,-26.945266113281264,63.12515330510598
1049,217,5,29,305.10748291015625,486.47491455078125,246.99900000000002,516.014,58.108482910156226,-29.53908544921876,65.18553026014412
1050,217,5,30,305.9832458496094,486.2850036621094,245.296,516.014,60.68724584960938,-29.728996337890635,67.5777702507951
1051,217,5,31,306.858642578125,486.094970703125,245.296,516.014,61.56264257812501,-29.91902929687501,68.44784346689993
1052,217,5,32,307.7336730957031,485.9048156738281,243.44099999999997,518.422,64.29267309570315,-32.5171843261719,72.04800545673136
1053,217,5,33,308.60833740234375,485.71453857421875,241.735,518.422,66.87333740234374,-32.707461425781275,74.44340997191541
1054,217,5,34,309.48260498046875,485.5241394042969,241.735,518.422,67.74760498046874,-32.89786059570315,75.31272941783448
1055,217,5,35,310.35650634765625,485.3336181640625,240.03,518.422,70.32650634765625,-33.088381835937525,77.7216733452628
1056,217,5,36,311.23004150390625,485.1429748535156,240.03,518.422,71.20004150390625,-33.2790251464844,78.59350752357547
1057,217,5,37,312.10321044921875,484.95220947265625,238.166,520.835,73.93721044921875,-35.882790527343786,82.18446170074544
1058,217,5,38,312.9844055175781,484.7510070800781,236.458,520.835,76.52640551757813,-36.08399291992191,84.60700494926994
1059,217,5,39,313.8670654296875,484.5454406738281,236.297,523.253,77.5700654296875,-38.70755932617192,86.69135020147696
1060,217,5,40,314.7496643066406,484.3380126953125,234.58700000000002,523.253,80.16266430664061,-38.91498730468754,89.10908475381814
1061,217,5,41,315.6319274902344,484.12982177734375,234.423,525.675,81.20892749023437,-41.545178222656205,91.21892203740632
1062,217,5,42,316.5137939453125,483.9212646484375,232.71099999999998,525.675,83.80279394531252,-41.753735351562455,93.62842884962251
1063,217,5,43,317.3952941894531,483.7125244140625,232.545,528.102,84.85029418945314,-44.389475585937475,95.76010634304498
1064,217,5,44,318.27642822265625,483.503662109375,232.545,528.102,85.73142822265626,-44.598337890624975,96.63793006735409
1065,217,5,45,319.15716552734375,483.29473876953125,232.37900000000002,530.534,86.77816552734373,-47.23926123046874,98.80282290446733
1066,217,5,46,320.03753662109375,483.08575439453125,230.662,530.534,89.37553662109374,-47.44824560546874,101.18953778600509
1067,217,5,47,320.91754150390625,482.8766784667969,230.662,530.534,90.25554150390624,-47.65732153320312,102.0650923082052
