Time,PedID,GateID,Iterations,Final x,Final y,Actual x,Actual y,Final Position x Error,Final Position y Error,Error_Pixels
3010,7,5,0,491.952880859375,299.79449462890625,489.764,299.635,2.18888085937499,0.1594946289062591,2.1946840212632295
3011,7,5,1,494.04400634765625,299.75689697265625,490.95599999999996,299.954,3.0880063476562896,-0.19710302734375773,3.0942903558899593
3012,7,5,2,496.1037292480469,299.6759948730469,487.26599999999996,302.817,8.837729248046912,-3.1410051269531323,9.379305489711362
3013,7,5,3,498.1544494628906,299.5833740234375,487.452,303.427,10.702449462890627,-3.843625976562521,11.371714257465058
3014,7,5,4,500.2026062011719,299.4879455566406,486.775,304.459,13.427606201171898,-4.971054443359378,14.318239786111734
3015,7,5,5,502.2501220703125,299.3924560546875,486.224,306.291,16.02612207031251,-6.898543945312497,17.44782213280401
3016,7,5,6,504.2975769042969,299.29766845703125,484.106,306.418,20.19157690429688,-7.120331542968756,21.410252197578874
3017,7,5,7,506.3310241699219,299.2340087890625,482.32,308.517,24.011024169921882,-9.282991210937496,25.743022501464655
3018,7,5,8,508.34002685546875,299.1988830566406,483.385,308.381,24.95502685546876,-9.182116943359347,26.590687033596815
3019,7,5,9,510.34820556640625,299.1717834472656,482.483,308.381,27.865205566406246,-9.209216552734347,29.347561240642023
3020,7,5,10,512.3571166992188,299.147216796875,479.405,313.052,32.95211669921878,-13.904783203125021,35.765695727677944
3021,7,5,11,514.3665161132812,299.12353515625,479.12699999999995,310.348,35.2395161132813,-11.224464843750013,36.98394390714425
3022,7,5,12,516.3760986328125,299.1001892089844,479.35400000000004,313.91700000000003,37.02209863281246,-14.816810791015655,39.8769816961421
3023,7,5,13,518.3858642578125,299.0769958496094,478.39099999999996,315.35,39.99486425781254,-16.273004150390648,43.17869649583556
3024,7,5,14,520.395751953125,299.0538635253906,475.963,315.786,44.43275195312498,-16.732136474609376,47.478772489744145
3025,7,5,15,522.40576171875,299.03070068359375,476.86800000000005,318.67400000000004,45.53776171874995,-19.643299316406285,49.5938196793469
3026,7,5,16,524.4158325195312,299.0074768066406,475.49300000000005,320.272,48.9228325195312,-21.264523193359366,53.34438572497595
3027,7,5,17,526.426025390625,298.984130859375,474.93,322.76099999999997,51.49602539062499,-23.776869140624967,56.7201916178207
3028,7,5,18,528.436279296875,298.9606018066406,473.028,324.195,55.40827929687498,-25.234398193359368,60.88392453531164
3029,7,5,19,530.4466552734375,298.93682861328125,472.981,324.251,57.465655273437505,-25.314171386718726,62.794178145762245
3030,7,5,20,532.4570922851562,298.91278076171875,471.306,324.251,61.15109228515627,-25.338219238281226,66.19275973877282
3031,7,5,21,534.4676513671875,298.8883972167969,469.49,324.684,64.97765136718749,-25.79560278320315,69.91071663303532
3032,7,5,22,536.478271484375,298.86358642578125,469.43199999999996,326.255,67.04627148437504,-27.391413574218745,72.42576929208565
3033,7,5,23,538.4889526367188,298.83831787109375,466.898,326.255,71.59095263671873,-27.416682128906245,76.6611959102543
3034,7,5,24,540.4996948242188,298.8125305175781,466.501,331.087,73.99869482421877,-32.274469482421864,80.7307142050635
3035,7,5,25,542.5105590820312,298.7861633300781,464.435,328.265,78.07555908203125,-29.47883666992186,83.45534576876236
3036,7,5,26,544.521484375,298.7591552734375,462.204,328.668,82.31748437499999,-29.908844726562506,87.58257376159936
3037,7,5,27,546.532470703125,298.7314453125,463.13300000000004,332.689,83.39947070312496,-33.95755468750002,90.04769421765309
