Time,PedID,GateID,Iterations,Final x,Final y,Actual x,Actual y,Final Position x Error,Final Position y Error,Error_Pixels
3010,7,10,0,488.7369689941406,297.82025146484375,489.764,299.635,-1.027031005859385,-1.814748535156241,2.085211004394582
3011,7,10,1,487.71270751953125,296.091064453125,490.95599999999996,299.954,-3.2432924804687104,-3.8629355468750077,5.043928741881213
3012,7,10,2,486.6901550292969,294.37530517578125,487.26599999999996,302.817,-0.5758449707030877,-8.441694824218757,8.461312483032748
3013,7,10,3,485.6643981933594,292.6639709472656,487.452,303.427,-1.7876018066406232,-10.763029052734396,10.91046812053037
3014,7,10,4,484.6335144042969,290.9567565917969,486.775,304.459,-2.1414855957031023,-13.502243408203128,13.671010848176834
3015,7,10,5,483.59698486328125,289.25396728515625,486.224,306.291,-2.6270151367187395,-17.037032714843747,17.238378469427033
3016,7,10,6,482.55462646484375,287.5557861328125,484.106,306.418,-1.5513735351562445,-18.862213867187506,18.925904781994014
3017,7,10,7,481.53997802734375,285.855224609375,482.32,308.517,-0.7800219726562432,-22.661775390624996,22.67519565809661
3018,7,10,8,480.5661315917969,284.1539001464844,483.385,308.381,-2.818868408203116,-24.227099853515597,24.39053887094299
3019,7,10,9,479.599365234375,282.4482727050781,482.483,308.381,-2.883634765625004,-25.932727294921847,26.09256013530113
3020,7,10,10,478.6296081542969,280.7438659667969,479.405,313.052,-0.7753918457030977,-32.308134033203146,32.31743735542474
3021,7,10,11,477.65435791015625,279.04315185546875,479.12699999999995,310.348,-1.4726420898437027,-31.304848144531263,31.339467003715008
3022,7,10,12,476.6730651855469,277.34686279296875,479.35400000000004,313.91700000000003,-2.680934814453167,-36.57013720703128,36.66827439109237
3023,7,10,13,475.6856689453125,275.6552429199219,478.39099999999996,315.35,-2.7053310546874627,-39.69475708007815,39.786838976750474
3024,7,10,14,474.692138671875,273.96832275390625,475.963,315.786,-1.2708613281250223,-41.81767724609375,41.8369838632494
3025,7,10,15,473.6925048828125,272.2861633300781,476.86800000000005,318.67400000000004,-3.175495117187552,-46.38783666992191,46.496399432156394
3026,7,10,16,472.6867980957031,270.6087646484375,475.49300000000005,320.272,-2.806201904296927,-49.66323535156249,49.74245384691397
3027,7,10,17,471.67498779296875,268.9361572265625,474.93,322.76099999999997,-3.255012207031257,-53.82484277343747,53.92317501829047
3028,7,10,18,470.6571350097656,267.26837158203125,473.028,324.195,-2.370864990234395,-56.92662841796874,56.97597760319173
3029,7,10,19,469.63323974609375,265.6054382324219,472.981,324.251,-3.3477602539062445,-58.6455617675781,58.741036880127105
3030,7,10,20,468.6033020019531,263.9473876953125,471.306,324.251,-2.702697998046858,-60.303612304687476,60.364146920690445
3031,7,10,21,467.5673828125,262.2942199707031,469.49,324.684,-1.922617187500009,-62.3897800292969,62.41939689674777
3032,7,10,22,466.52545166015625,260.64599609375,469.43199999999996,326.255,-2.9065483398437095,-65.60900390625,65.67335393309965
3033,7,10,23,465.4775695800781,259.0027160644531,466.898,326.255,-1.4204304199218996,-67.25228393554687,67.26728266494236
3034,7,10,24,464.4237060546875,257.3644104003906,466.501,331.087,-2.0772939453124764,-73.72258959960936,73.75184992532502
3035,7,10,25,463.3639221191406,255.7310791015625,464.435,328.265,-1.0710778808593773,-72.53392089843749,72.54182854552022
3036,7,10,26,462.2982177734375,254.10276794433594,462.204,328.668,0.09421777343749227,-74.56523205566407,74.5652915806266
3037,7,10,27,461.22662353515625,252.4794921875,463.13300000000004,332.689,-1.9063764648437882,-80.20950781250002,80.23215947953297
3038,7,10,28,460.1491394042969,250.8612823486328,462.056,334.405,-1.9068605957031082,-83.54371765136716,83.56547658179664
3039,7,10,29,459.0657958984375,249.24815368652344,459.87699999999995,338.038,-0.8112041015624527,-88.78984631347657,88.79355190814917
3040,7,10,30,457.9765930175781,247.64013671875,460.439,336.348,-2.4624069824218964,-88.70786328125001,88.74203319775823
3041,7,10,31,456.881591796875,246.03724670410156,458.286,339.35400000000004,-1.4044082031250014,-93.31675329589848,93.32732080204909
3042,7,10,32,455.7807922363281,244.4394989013672,459.20599999999996,340.16,-3.4252077636718354,-95.72050109863284,95.78176433328888
3043,7,10,33,454.6741943359375,242.846923828125,457.139,340.418,-2.46480566406251,-97.571076171875,97.60220372665479
3044,7,10,34,453.56182861328125,241.25953674316406,455.726,340.418,-2.164171386718749,-99.15846325683594,99.18207737917358
3045,7,10,35,452.4437255859375,239.6773681640625,456.325,342.105,-3.8812744140624886,-102.42763183593752,102.50114172337602
3046,7,10,36,451.3199157714844,238.10043334960938,454.75300000000004,342.459,-3.4330842285156677,-104.35856665039063,104.41502047427902
3047,7,10,37,450.1903991699219,236.5287628173828,453.11400000000003,342.459,-2.9236008300781577,-105.93023718261719,105.97057417688728
3048,7,10,38,449.0552062988281,234.9623565673828,453.50199999999995,344.36199999999997,-4.446793701171828,-109.39964343261715,109.48998108230978
3049,7,10,39,447.91436767578125,233.4012451171875,451.60699999999997,344.506,-3.692632324218721,-111.10475488281247,111.16610135761579
3050,7,10,40,446.7679138183594,231.84544372558594,450.03,345.91900000000004,-3.2620861816405977,-114.0735562744141,114.12018860547143
