Time,PedID,GateID,Iterations,Final x,Final y,Actual x,Actual y,Variance x,Variance y,Final Position x Error,Final Position y Error,Error_Pixels
1011,208,9,0,368.0273213890222,373.93902646632444,390.535,388.55199999999996,29142.792623145608,31370.78353562986,-22.507678610977848,-14.612973533675529,26.835323585732503
1012,208,9,1,379.6894995352145,387.03551566836717,392.108,388.55199999999996,11611.121162620315,12441.20301618935,-12.418500464785495,-1.516484331632796,12.510750517933179
1013,208,9,2,387.0034267732477,388.58816005056264,392.162,390.70099999999996,2816.351967746842,2808.3573129122565,-5.158573226752253,-2.11283994943733,5.574492836815156
1014,208,9,3,385.9300882092202,387.7797945111888,393.681,388.55199999999996,753.058594224364,814.08743454975,-7.75091179077981,-0.7722054888111529,7.789283337085611
1015,208,9,4,384.4395936438058,388.38378606148575,393.681,388.55199999999996,568.3001692915493,599.0387190505548,-9.241406356194204,-0.16821393851421362,9.242937161390698
1016,208,9,5,383.81718633391597,386.836515304316,395.254,388.55199999999996,486.4332920849829,602.0584150890791,-11.43681366608405,-1.7154846956839833,11.564756572183127
1017,208,9,6,382.10869985458515,386.5458802961739,395.195,386.408,476.6173508548728,459.4233428214003,-13.086300145414839,0.13788029617387565,13.087026494660941
1018,208,9,7,380.6109618976795,385.763443227224,396.76599999999996,386.408,562.117936151546,490.9648531254287,-16.155038102320475,-0.6445567727760135,16.167891313364205
1019,208,9,8,379.80261478119274,386.1230458243952,396.704,384.269,533.4238723402266,535.3549385862209,-16.901385218807263,1.8540458243952003,17.002773545321187
1020,208,9,9,378.3409688841729,385.75454018299246,396.704,384.269,602.3863027671822,550.6796254675758,-18.363031115827084,1.4855401829924517,18.423022048407773
1021,208,9,10,375.9633132115173,384.14284693607095,396.64300000000003,382.135,549.2212207356221,534.8569126345004,-20.67968678848274,2.007846936070962,20.776931799195886
1022,208,9,11,374.19884130782987,384.23981250950317,396.64300000000003,382.135,419.179760820614,491.3924648778263,-22.444158692170163,2.1048125095031764,22.542637270281368
1023,208,9,12,373.17633182014026,385.8951800415826,396.58099999999996,380.005,443.3470561431313,564.8609862525766,-23.404668179859698,5.890180041582596,24.134471478190587
1024,208,9,13,371.818676505823,383.052089002836,396.58099999999996,380.005,496.6155336702441,504.34934977225635,-24.76232349417694,3.047089002836003,24.94909650110543
1025,208,9,14,369.6674748768855,383.7042775746649,396.58099999999996,380.005,611.2840795426539,562.2414068478622,-26.913525123114482,3.6992775746649045,27.16656932936018
1026,208,9,15,370.36590755906957,381.5895388621683,396.58099999999996,380.005,593.6060544291865,494.66802534672377,-26.21509244093039,1.5845388621683014,26.26293652835203
1027,208,9,16,368.27035619934355,381.4106795802668,396.58099999999996,380.005,635.1531002267301,599.0712649327642,-28.310643800656408,1.405679580266792,28.345519707530926
1028,208,9,17,366.14739873676467,380.8838954553876,396.58099999999996,380.005,645.1721535955814,583.3576910729324,-30.43360126323529,0.8788954553875783,30.446289479526033
1029,208,9,18,363.36224666055006,380.79857624102726,396.58099999999996,380.005,520.149388607841,597.831681524224,-33.218753339449904,0.7935762410272673,33.228231019383756
1030,208,9,19,362.65415395135363,380.76606210407124,396.52,377.879,499.94205684158175,584.8016390267946,-33.86584604864635,2.8870621040712194,33.98868423730727
1031,208,9,20,362.06366516425777,379.74445147903447,396.52,377.879,557.4936749703412,611.984164952396,-34.45633483574221,1.8654514790344479,34.50679526605469
1032,208,9,21,360.8957413159161,378.7956290592128,396.52,377.879,599.134021118669,583.8008568655498,-35.624258684083884,0.9166290592127666,35.63604938293131
1033,208,9,22,358.7223859850983,377.48609623583155,396.52,377.879,674.3613381452553,688.8640117710978,-37.79761401490168,-0.39290376416846584,37.79965606440606
1034,208,9,23,357.0502342221516,378.17732730673276,396.458,375.759,500.5850876271486,554.0221443341555,-39.407765777848454,2.418327306732749,39.48189851772902
1035,208,9,24,355.2839761346792,376.565458565574,398.017,375.759,504.22479454676585,560.8590688719542,-42.733023865320774,0.806458565573962,42.74063293976895
1036,208,9,25,395.75118336906803,375.8261428205109,398.017,375.759,9566.42905350564,9281.587945134901,-2.2658166309319654,0.06714282051086684,2.2668112324042418
1037,208,9,26,396.85919582386754,372.73432558275164,398.017,375.759,5046.870901058758,4954.557476140521,-1.1578041761324585,-3.0246744172483773,3.238698170658478
1038,208,9,27,396.55394843893407,372.6528247733981,398.017,375.759,2402.937359062055,2119.33589875749,-1.4630515610659245,-3.10617522660192,3.4334886644188773
1039,208,9,28,395.1340171018588,372.07244835479645,398.017,375.759,1072.985534479484,994.4478224963526,-2.882982898141222,-3.686551645203565,4.679984340115666
1040,208,9,29,395.43381538270694,371.6334461612193,398.017,375.759,760.8738309925978,833.9067476529954,-2.583184617293057,-4.125553838780718,4.867549408449574
1041,208,9,30,394.306647112436,371.4291078976259,398.017,375.759,758.8682703036258,676.3821904876542,-3.7103528875639995,-4.329892102374117,5.702164866825254
1042,208,9,31,394.1124790412838,370.1684718461777,398.017,375.759,666.3222933983116,590.1097055882639,-3.904520958716205,-5.5905281538223335,6.819038711998507
1043,208,9,32,392.7230414955783,370.1616376771177,398.519,372.773,633.1588059326058,565.4834158915162,-5.795958504421719,-2.6113623228823144,6.357070722144576
1044,208,9,33,392.9256676249353,370.7637424504761,399.042,371.13199999999995,617.3115112756877,632.5922211739205,-6.116332375064701,-0.3682575495238325,6.1274085342048075
1045,208,9,34,393.87611979413117,369.32389507273183,399.73400000000004,369.145,688.0791025439156,581.6694599659558,-5.857880205868867,0.1788950727318479,5.860611226941948
