Time,PedID,GateID,Iterations,Final x,Final y,Actual x,Actual y,Variance x,Variance y,Final Position x Error,Final Position y Error,Error_Pixels
3011,7,1,0,395.19596472031884,331.5915598700998,489.764,299.635,28243.616245157064,33206.918003889245,-94.56803527968117,31.956559870099795,99.82151579389233
3012,7,1,1,447.90757281273005,317.0931783651695,487.26599999999996,302.817,11804.180487312173,15878.764805688781,-39.35842718726991,14.276178365169471,41.86758960544254
3013,7,1,2,473.1368340631422,310.87185065223724,487.452,303.427,2964.9179098361224,4035.0790295821384,-14.315165936857795,7.444850652237221,16.135357976626693
3014,7,1,3,483.08535249289577,312.55895506596784,486.775,304.459,1596.5387682548987,2284.646527881407,-3.689647507104212,8.099955065967833,8.900717431610683
3015,7,1,4,483.6079777704668,307.7847981583259,486.224,306.291,1075.8891934235644,960.7065071445571,-2.6160222295332005,1.4937981583258875,3.012474936531368
3016,7,1,5,479.0266635482311,309.23253805495654,484.106,306.418,619.4131067443245,772.2526694474997,-5.0793364517688815,2.814538054956529,5.807002949290329
3017,7,1,6,480.0661164172794,308.2605400031904,482.32,308.517,594.7962360816399,661.7256739062889,-2.2538835827206185,-0.2564599968096104,2.268427414404331
3018,7,1,7,475.58301940456636,307.40679984832997,483.385,308.381,477.9630432981446,691.725041366522,-7.801980595433633,-0.9742001516700043,7.862567465340874
3019,7,1,8,473.0295920151347,307.6194489208518,482.483,308.381,423.0810395835755,585.1783323297149,-9.453407984865294,-0.7615510791481483,9.484033033180905
3020,7,1,9,474.7154447933088,305.70188687500314,479.405,313.052,644.962308135789,1016.0684896849433,-4.689555206691182,-7.350113124996881,8.718720719627152
3021,7,1,10,470.194460489706,309.1307676445288,479.12699999999995,310.348,558.2352958260672,785.5624092170684,-8.932539510293964,-1.2172323554711966,9.01509382703079
3022,7,1,11,463.1765031037082,310.6706288679798,479.35400000000004,313.91700000000003,413.91308382527166,575.7507054079864,-16.177496896291814,-3.246371132020215,16.500010041098324
3023,7,1,12,462.79960499063145,310.31616523917916,478.39099999999996,315.35,813.6964834705809,746.5571233473685,-15.591395009368512,-5.0338347608208664,16.383866782216273
3024,7,1,13,461.8315766961445,316.4420523023452,475.963,315.786,1664.5705844680551,1340.302112088073,-14.131423303855513,0.6560523023451879,14.146643743876606
3025,7,1,14,468.91288507299976,320.254412798172,476.86800000000005,318.67400000000004,1052.8343772771618,1005.9896541715544,-7.955114927000295,1.580412798171949,8.110583093366875
3026,7,1,15,468.67409647008566,316.8937175387576,475.49300000000005,320.272,1289.0264482265227,868.7028076620917,-6.818903529914394,-3.3782824612424065,7.609877642788814
3027,7,1,16,460.7344663682433,317.3458097928744,474.93,322.76099999999997,1250.0144657603332,1109.6290817539932,-14.195533631756689,-5.41519020712559,15.193336041491484
3028,7,1,17,460.61312445868,319.2377008326454,473.028,324.195,961.1621090584132,1393.3542890943302,-12.414875541320043,-4.95729916735462,13.368019664150761
3029,7,1,18,454.49839456036295,319.1096646076981,472.981,324.251,710.1202765262384,1133.8058455863866,-18.48260543963704,-5.141335392301869,19.184369508885002
3030,7,1,19,455.08071935322255,324.29728870890733,471.306,324.251,1295.4087600569917,956.6240244640259,-16.225280646777435,0.0462887089073547,16.225346674609536
3031,7,1,20,449.2589965682403,322.5562699399532,469.49,324.684,710.9260416620974,606.1735669248144,-20.23100343175969,-2.127730060046815,20.342584276937362
