Time,PedID,GateID,Iterations,Final x,Final y,Actual x,Actual y,Variance x,Variance y,Final Position x Error,Final Position y Error,Error_Pixels
1066,201,2,55,521.092353943113,164.68265553328746,523.9159999999999,150.306,507.08094708428376,420.6661293893555,-2.8236460568869006,14.376655533287447,14.651320806581825
1067,201,2,56,521.0456565266577,167.7533799545497,523.9159999999999,150.306,621.7199294090053,590.0434771326551,-2.8703434733422455,17.44737995454969,17.681909934545555
1068,201,2,57,521.2686330230503,171.43281689316572,525.81,153.411,520.8402862369077,568.0529070524453,-4.541366976949689,18.02181689316572,18.58520643280893
1069,201,2,58,521.9404438516784,170.08035270407666,527.712,156.534,501.35475185662244,555.0603891702548,-5.771556148321565,13.546352704076668,14.724623321378164
1070,201,2,59,520.5471512110821,172.5847663895557,529.31,158.102,564.193544820858,616.8512054797847,-8.762848788917836,14.482766389555707,16.927434572075096
1071,201,2,60,519.207610784296,177.55777938483251,530.9119999999999,159.675,634.0913590328289,711.6706913941349,-11.70438921570394,17.882779384832503,21.37256478383624
1072,201,2,61,521.3705112624264,180.21131042972863,532.519,161.253,517.6625206355968,559.5542952122297,-11.148488737573643,18.95831042972864,21.9933247937133
1073,201,2,62,524.0183719968577,183.0055111140099,532.519,161.253,517.3774923959543,549.4197017665854,-8.50062800314231,21.752511114009906,23.354494561281598
1074,201,2,63,525.1476328065648,183.6431852018519,532.519,161.253,645.720252788566,589.6088043340745,-7.371367193435162,22.39018520185192,23.57238739868495
1075,201,2,64,526.5614778402933,184.67886490004372,532.519,161.253,669.0391920684875,677.1796356708427,-5.957522159706741,23.425864900043734,24.17153732385464
1076,201,2,65,527.284373638579,185.2660359599179,532.519,161.253,603.341556487066,555.9342983612322,-5.234626361420965,24.013035959917914,24.576965011082923
1077,201,2,66,524.5634177196285,186.7732672128209,532.8380000000001,162.835,554.9161121264433,613.8256516081009,-8.274582280371533,23.938267212820904,25.328034844161415
1078,201,2,67,524.2636573924483,191.05120851808232,531.545,162.835,577.3608870985066,694.8444740883626,-7.2813426075516645,28.21620851808231,29.14056233679179
1079,201,2,68,524.0252725971874,195.01358025612916,531.862,164.422,599.3160606544086,682.994078989521,-7.836727402812585,30.591580256129163,31.579409097593725
1080,201,2,69,522.2876054115252,195.58895542420015,533.476,166.014,629.5722707233904,627.395095376509,-11.188394588474807,29.57495542420014,31.62053386346976
1081,201,2,70,523.9567354587501,198.31329864865407,535.094,167.61,558.2219236704235,598.8109864766793,-11.13726454124992,30.703298648654055,32.66085132647685
1082,201,2,71,523.821176946995,201.2077493614971,537.693,167.61,472.93877656386854,532.0260846744407,-13.87182305300496,33.59774936149708,36.34881341903553
1083,201,2,72,523.5383203429724,202.7024055387641,540.2909999999999,167.61,595.3795560158278,506.19309670687795,-16.752679657027556,35.0924055387641,38.88610551582745
1084,201,2,73,520.0359063423059,202.62414016543474,541.923,169.21099999999998,559.9537693980166,587.8352410044877,-21.887093657694095,33.413140165434754,39.94349514621451
1085,201,2,74,519.6024458920473,206.7136198929715,542.89,167.61,537.1976823522034,572.9859802012213,-23.2875541079527,39.103619892971494,45.51267147800512
1086,201,2,75,536.5783890244094,166.51353056588087,543.225,169.21099999999998,8940.49788353211,9111.244360819357,-6.646610975590647,-2.697469434119114,7.173128941323232
1087,201,2,76,539.9994728233692,165.4226430586546,543.225,169.21099999999998,4187.274273272275,4123.665914792798,-3.2255271766308624,-3.7883569413453984,4.9755073994743615
1088,201,2,77,542.4179025148765,165.47361013593067,543.225,169.21099999999998,1626.5006500440822,1898.2263252170846,-0.8070974851235633,-3.737389864069314,3.8235440819403177
1089,201,2,78,541.3599401310806,165.1748789706683,543.225,169.21099999999998,1087.0056636470292,1202.194620652412,-1.8650598689193885,-4.036121029331696,4.446203018089385
